ldd, dgla, brickers
"1 - White", "白", "White"
"1 - White, 268 - Medium Lilac", "パステル紫", "Purple"
"21 - Bright Red", "赤", "Red"
"23 - Bright Blue", "青", "Blue"
"26 - Black", "黒", "Black"
"40 - Transparent", "透明", "Tr,Clear"
"105 - Bright Yellowish Orange", "パステルオレンジ", "Orange"
"140 - Earth Blue", "紺", "Dark Blue"
"182 - Tr. Bright Orange", "透明アメ色", "Tr,Orange"
"194 - Medium Stone Grey", "新濃灰", "Dark Bluish Gray"
"208 - Light Stone Grey", "新灰", "Light Bluish Gray"
"111 - Tr. Brown", "透明濃灰", "Tr,Black"
"24 - Bright Yellow", "黄", "Yellow"
"297 - Warm Gold", "パール金", "Pearl Gold"
